hpo_id,hpo_term,hpo_parent,hpo_term_pmc,hpo_annotations,hpo_id_pmc,normalized_term,normalized_id,hpo_match
HP:0012741,Unilateral cryptorchidism,HP:0000028,11899,20,0,Unilateral cryptorchidism,HP:0000035,0
HP:0025205,Triggered by breast feeding,HP:0033793,11897,0,0,no appropriate match,HP:0000000,0
HP:0012456,Medial arterial calcification,HP:0003207,11886,0,0,Arterial calcification,HP:0004429,0
HP:0020099,Severe norovirus infection,HP:0032169,11886,0,0,no appropriate match,HP:0000000,0
HP:0007034,Generalized hyperreflexia,HP:0001347,11879,10,3,Increased deep tendon reflexes,HP:0001348,0
HP:0100768,Choriocarcinoma,HP:0100767|HP:0031502,11879,4,0,Choriocarcinoma,HP:0006765,0
HP:6000245,Elevated circulating granulocyte-macrophage colony-stimulating factor concentration,HP:0010876,11877,0,0,no appropriate match,HP:0000000,0
HP:0031209,Decreased circulating lipoprotein lipase concentration,HP:0033477,11872,1,0,Decreased circulating lipoprotein lipase concentration,HP:0012304,0
HP:0004463,Absent brainstem auditory responses,HP:0006958,11861,10,2,Absent auditory brainstem response,HP:0006946,0
HP:0010686,Low alkaline phosphatase of hepatic origin,HP:0003282,11859,0,0,no appropriate match,HP:0000000,0
HP:0030265,Wide penis,HP:0030264,11856,1,0,Broad penis,HP:0030279,0
HP:0005100,Premature birth following premature rupture of fetal membranes,HP:0001788|HP:0001622,11855,1,2,Premature rupture of membranes,HP:0001788,0
HP:0011857,Plasmacytoma,HP:0004377,11849,0,0,Plasmacytoma,HP:0030760,0
HP:4000148,Hepatic artery hyperplasia,HP:4000147,11834,1,0,no appropriate match,HP:0000000,0
HP:0012391,Hyporeflexia of upper limbs,HP:0002817|HP:0001265,11831,10,0,Hyporeflexia of the upper limbs,HP:0001265,0
HP:0200098,Absent skin pigmentation,HP:0001010,11826,3,0,Hypopigmentation of the skin,HP:0001010,0
HP:0011993,Impaired neutrophil bactericidal activity,HP:0011990,11826,3,0,Abnormality of neutrophil physiology,HP:0011993,1
HP:0000481,Abnormal cornea morphology,HP:0004328,11823,16,2,Abnormality of the cornea,HP:0000481,1
HP:0008609,Abnormal middle ear morphology,HP:0000370,11820,5,0,Abnormality of the middle ear,HP:0011398,0
HP:0030016,Dyspareunia,HP:0030014,11817,13,4,Dyspareunia,HP:0031001,0
HP:0045050,Increased DLCO,HP:0045049,11817,2,0,no appropriate match,HP:0000000,0
HP:0011510,Drusen,HP:0030506,11796,15,0,Drusen,HP:0000603,0
HP:0007033,Cerebellar dysplasia,HP:0001317,11791,26,4,Cerebellar dysplasia,HP:0007033,1
HP:0020035,Lower limb dysmetria,HP:0002406,11788,1,1,Limb dysmetria,HP:0002070,0
HP:0030757,Tooth abscess,HP:0025615|HP:0011061,11787,8,1,Tooth abscess,HP:0031143,0
HP:0007980,Absent retinal pigment epithelium,HP:0007894,11779,4,0,Absent retinal pigment epithelium,HP:0008058,0
HP:0030871,Facet joint arthrosis,HP:0030870,11771,2,0,Facet joint arthropathy,HP:0004665,0
HP:0009926,Epiphora,HP:0000632,11768,33,1,Epiphora,HP:0000507,0
HP:0005348,Inspiratory stridor,HP:0010307,11765,7,0,Stridor,HP:0031996,0
HP:0031697,Disseminated infection with live vaccine virus,HP:0031696,11758,0,0,no appropriate match,HP:0000000,0
HP:0100861,Sclerotic vertebral body,HP:0003468,11750,4,0,Sclerotic vertebral body,HP:0005643,0
HP:0012799,Unilateral facial palsy,HP:0010628,11750,3,0,Facial palsy,HP:0010628,0
HP:0006640,Multiple rib fractures,HP:0000772,11749,12,1,Multiple rib fractures,HP:0008785,0
HP:0033730,Membranous lupus nephritis,HP:0033726,11739,0,0,Membranous glomerulonephritis,HP:0000099,0
HP:0007973,Retinal dysplasia,HP:0000479,11738,26,3,Retinal dysplasia,HP:0007973,1
HP:6000253,Necrotizing vasculitis,HP:0034785,11735,0,0,Necrotizing vasculitis,HP:0002633,0
HP:0004610,Lumbar spinal canal stenosis,HP:0003416,11725,2,0,Spinal stenosis,HP:0003416,0
HP:0001618,Dysphonia,HP:0001608,11722,81,2,Abnormality of the voice,HP:0001608,0
HP:0011629,Total absence of the pericardium,HP:0011628,11720,1,1,Absent pericardium,HP:0001696,0
HP:0030277,Abnormal vertebral pedicle morphology,HP:0008438,11720,0,1,Abnormality of the vertebral pedicle,HP:0008479,0
HP:0001089,Iris atrophy,HP:0000525,11717,13,0,Iris atrophy,HP:0000521,0
HP:6000012,Mediastinal shift,HP:0045026,11715,0,0,Mediastinal shift,HP:0000768,0
HP:0033099,Increased serine family amino acid in urine,HP:0033100,11714,0,0,Increased serine family amino acid in urine,HP:0010916,0
HP:0033090,Increased aromatic amino acid level in urine,HP:0033100,11713,0,0,Aminoaciduria,HP:0003355,0
HP:0032046,Focal cortical dysplasia,HP:0002539,11707,16,1,Focal cortical dysplasia,HP:0002531,0
HP:0032997,Decreased cystatin C level,HP:0032996,11699,0,1,no appropriate match,HP:0000000,0
HP:0008226,Androgen insufficiency,HP:0008373,11696,5,0,Androgen insensitivity,HP:0000023,0
HP:0034610,Decreased circulating myo-inositol concentration,HP:0011013,11695,0,0,Decreased circulating myo-inositol concentration,HP:0003551,0
HP:0001007,Hirsutism,HP:0011362,11688,165,13,Hirsutism,HP:0001007,1
HP:0031508,Abnormal circulating thyroid hormone concentration,HP:0003117|HP:0002926,11681,2,1,Abnormal circulating thyroid hormone level,HP:0011120,0
HP:0004320,Vaginal fistula,HP:0100589|HP:0000142,11664,3,0,Vaginal fistula,HP:0000143,0
HP:0001501,6 metacarpals,HP:0005917,11662,3,16,Polydactyly,HP:0010442,0
HP:0031307,Internal carotid artery calcification,HP:0031314|HP:0031306,11645,0,1,Intracranial artery calcification,HP:0011915,0
HP:0000829,Hypoparathyroidism,HP:0011767,11641,37,2,Hypoparathyroidism,HP:0000829,1
HP:0025636,Endometritis,HP:0030126,11635,0,0,Endometritis,HP:0005263,0
HP:0007010,Poor fine motor coordination,HP:0002275,11629,50,15,Impaired fine motor coordination,HP:0011010,0
HP:0002747,Respiratory insufficiency due to muscle weakness,HP:0004347|HP:0002093,11627,102,4,Respiratory insufficiency due to muscle weakness,HP:0002747,1
HP:0009788,Quadriceps aplasia,HP:0009787|HP:0100854,11624,1,0,Aplasia of the quadriceps muscle,HP:0008961,0
HP:0100799,Neoplasm of the middle ear,HP:0012780|HP:0000370,11623,0,0,Middle ear neoplasm,HP:0100643,0
HP:0032275,Recurrent shingles,HP:0005353,11617,3,0,Recurrent herpes zoster,HP:0030650,0
HP:0006881,Diffuse peripheral demyelination,HP:0011096,11616,1,0,Peripheral demyelination,HP:0007159,0
HP:6000154,Bone marrow granuloma,HP:0005561,11613,0,0,Bone marrow granuloma,HP:0005517,0
HP:0008615,Adult onset sensorineural hearing impairment,HP:0000407,11610,8,3,Adult onset sensorineural hearing impairment,HP:0008612,0
HP:0034777,Purulent sputum,HP:0032016,11607,0,0,Purulent sputum,HP:0031243,0
HP:0001096,Keratoconjunctivitis,HP:0000509|HP:0000491,11601,10,1,Keratoconjunctivitis,HP:0011100,0
HP:0000189,Narrow palate,HP:0000174,11600,86,4,Narrow palate,HP:0000189,1
HP:0000468,Increased adipose tissue around the neck,HP:0025668|HP:0009126,11596,6,3,Increased neck adipose tissue,HP:0007489,0
HP:0006863,Severe expressive language delay,HP:0002474,11596,12,0,Severe expressive language delay,HP:0001344,0
HP:0012027,Laryngeal edema,HP:0025423|HP:0000969,11594,7,0,Laryngeal edema,HP:0001605,0
HP:0012464,Decreased transferrin saturation,HP:0040135,11588,5,0,Decreased transferrin saturation,HP:0003234,0
HP:0006429,Broad femoral neck,HP:0003367,11587,29,1,Broad femoral neck,HP:0006464,0
HP:0012151,Hemothorax,HP:0002103,11573,8,0,Hemothorax,HP:0032028,0
HP:0410054,Decreased circulating GABA concentration,HP:0034025,11571,1,0,Decreased circulating gamma-aminobutyric acid level,HP:0012639,0
HP:0025657,Abnormal umbilical blood flow measurement,HP:0034059|HP:0010881,11570,0,0,Abnormal umbilical artery Doppler waveform,HP:0030875,0
HP:0001664,Torsade de pointes,HP:0004308,11567,16,5,Torsade de pointes,HP:0004743,0
HP:0033826,Inferior mediastinal mass,HP:0033823,11563,0,0,no appropriate match,HP:0000000,0
HP:0010575,Dysplasia of the femoral head,HP:0003368,11553,10,2,Abnormality of the femoral head,HP:0003368,0
HP:0033725,Thin corpus callosum,HP:0001273,11550,131,7,Thin corpus callosum,HP:0002079,0
HP:0003319,Abnormality of the cervical spine,HP:0000925,11549,27,0,Abnormality of the cervical spine,HP:0003319,1
HP:6000748,Decreased urinary creatine level,HP:6000531,11546,2,0,Decreased urinary creatinine,HP:0012622,0
HP:0010660,Abnormal hand bone ossification,HP:0005922|HP:0003336,11538,2,0,Abnormality of hand bone ossification,HP:0005923,0
HP:0041073,Fractured thoracic vertebra,HP:0041166|HP:0100711,11535,0,0,Thoracic vertebral fracture,HP:0003410,0
HP:0034300,Decreased acid sphingomyelinase activity,HP:0012379,11534,1,0,Decreased sphingomyelinase activity,HP:0010989,0
HP:0007263,Spinocerebellar atrophy,HP:0001272,11520,4,0,Spinocerebellar ataxia,HP:0001270,0
HP:0012173,Orthostatic tachycardia,HP:0012332,11519,3,0,Orthostatic tachycardia,HP:0002723,0
HP:0031481,Abnormal mitral valve physiology,HP:0031650,11509,1,0,Abnormality of the mitral valve,HP:0001634,0
HP:0020292,Decreased lymph-node cellular CD20 expression,HP:0020289,11506,0,0,Decreased B cell count,HP:0005417,0
HP:0025263,Stiff knee,HP:0001387,11491,1,0,Knee stiffness,HP:0002980,0
HP:0040070,Abnormal upper limb bone morphology,HP:0002817|HP:0002813,11490,1,0,Abnormality of the upper limb bone,HP:0009815,0
HP:0007722,Retinal pigment epithelial atrophy,HP:0001105,11483,36,0,Retinal pigment epithelial atrophy,HP:0001100,0
HP:0002925,Elevated circulating thyroid-stimulating hormone concentration,HP:0031097,11479,36,1,Elevated circulating thyroid-stimulating hormone level,HP:0002925,1
HP:0025640,Abnormal urinary mineral level,HP:0003110,11476,0,1,Abnormal urine mineral concentration,HP:0012599,0
HP:0004962,Thoracic aorta calcification,HP:0004963,11475,1,0,Aortic valve calcification,HP:0004429,0
HP:0000902,Rib fusion,HP:0000772,11473,37,11,Rib fusion,HP:0000902,1
HP:0032546,Abdominal guarding,HP:0002027,11471,0,0,Abdominal guarding,HP:0003352,0
HP:0005274,Prominent nasal tip,HP:0000436,11470,37,5,Prominent nasal tip,HP:0000456,0
HP:0004959,Descending thoracic aorta aneurysm,HP:0012727,11468,4,0,Thoracic aortic aneurysm,HP:0004942,0
HP:0025043,Enlarged mesenteric lymph node,HP:0025042,11468,2,0,Mesenteric lymphadenopathy,HP:0002589,0
HP:0030142,Abnormal bowel sounds,HP:0011458,11465,3,0,Abnormal bowel sounds,HP:0004388,0
HP:0025489,Bladder duplication,HP:0025487,11465,2,0,Bladder duplication,HP:0001408,0
HP:0003165,Elevated circulating parathyroid hormone level,HP:0100530,11459,34,0,Increased circulating parathyroid hormone level,HP:0003165,1
HP:0012138,Granulocytic hyperplasia,HP:0012137,11458,3,2,Granulocytosis,HP:0001913,0
HP:0008182,Adrenocortical hypoplasia,HP:0000849,11457,2,0,Adrenal hypoplasia,HP:0000835,0
HP:0002270,Abnormality of the autonomic nervous system,HP:0410008,11451,15,1,Abnormality of the autonomic nervous system,HP:0012332,0
HP:0033424,Pulmonary arterial hypertension with lack of acute response to NO challenge,HP:0002092,11445,1,0,Pulmonary arterial hypertension,HP:0002092,0
HP:0010903,Abnormal circulating glutamine concentration,HP:0010902,11438,2,2,Abnormal circulating glutamine level,HP:0010902,0
HP:0010438,Abnormal ventricular septum morphology,HP:0001671|HP:0001713,11438,1,2,Abnormality of the ventricular septum,HP:0011991,0
HP:6000038,Subclavian artery stenosis,HP:0031251,11436,0,0,Subclavian artery stenosis,HP:0012720,0
HP:0000540,Hypermetropia,HP:0000539,11433,237,9,Hypermetropia,HP:0000540,1
HP:0032819,Neonatal bilateral clonic seizure,HP:0032814,11430,0,1,Neonatal seizures,HP:0001279,0
HP:0030534,Abnormal best corrected visual acuity test,HP:0030532,11428,4,4,Abnormal visual acuity,HP:0008039,0
HP:0025074,Abnormal QRS complex,HP:0003115,11423,4,0,Abnormal QRS complex,HP:0011992,0
HP:0012597,Heavy proteinuria,HP:0000093,11423,1,0,Nephrotic range proteinuria,HP:0000093,0
HP:0000288,Abnormality of the philtrum,HP:0000177,11420,16,0,Abnormality of the philtrum,HP:0000288,1
HP:0000159,Abnormal lip morphology,HP:0000163,11418,11,0,Abnormality of the lips,HP:0000153,0
HP:0002510,Spastic tetraplegia,HP:0100021|HP:0034353,11417,128,12,Spastic tetraplegia,HP:0002510,1
HP:0004283,Narrow palm,HP:0100871,11414,13,2,Narrow palm,HP:0004279,0
HP:0100498,Deviation of toes,HP:0001780,11403,0,0,Toe deformity,HP:0100658,0
HP:0100337,Bilateral cleft palate,HP:0100338,11393,20,0,Cleft palate,HP:0000175,0
HP:0034522,Eosinophilic lymph node infiltration,HP:0034582,11391,0,0,Eosinophilic infiltration,HP:0001835,0
HP:0005234,Neonatal intestinal obstruction,HP:0005214,11385,1,0,Neonatal intestinal obstruction,HP:0005248,0
HP:0030411,Jejunal adenocarcinoma,HP:0040274,11382,0,0,no appropriate match,HP:0000000,0
HP:0025201,Abnormal circulating apolipoprotein concentration,HP:0010876,11381,2,0,Abnormal circulating apolipoprotein level,HP:0010979,0
HP:0034229,Distal aortic arch hypoplasia,HP:0012304,11381,0,0,Aortic arch hypoplasia,HP:0011610,0
HP:0001012,Multiple lipomas,HP:0012031,11379,33,3,Multiple lipomas,HP:0000979,0
HP:0004633,Lower thoracic kyphosis,HP:0002942,11375,1,1,Thoracic kyphosis,HP:0002942,0
HP:0005200,Retroperitoneal fibrosis,HP:0002585,11366,8,4,Retroperitoneal fibrosis,HP:0001386,0
HP:0030246,Maternal first trimester fever,HP:0030244,11363,0,17,no appropriate match,HP:0000000,0
HP:0011090,Fused teeth,HP:0011089,11362,6,1,Fusion of teeth,HP:0006483,0
HP:0030092,Reduced muscle fiber merosin,HP:0030090,11358,1,0,no appropriate match,HP:0000000,0
HP:0010935,Abnormality of the upper urinary tract,HP:0000079,11355,18,0,Abnormality of the upper urinary tract,HP:0000077,0
HP:6000087,Penile swelling,HP:0000036,11351,0,0,Penile edema,HP:0100583,0
HP:0034771,Battle sign,HP:0031364,11349,0,0,Retroauricular ecchymosis,HP:0032320,0
HP:0030447,Merkel cell skin cancer,HP:0040192|HP:0008069,11348,1,1,no appropriate match,HP:0000000,0
HP:0031212,Abnormal circulating progesterone level,HP:0033799,11346,0,0,Abnormal circulating progesterone level,HP:0010860,0
HP:0100712,Abnormal lumbar spine morphology,HP:0000925,11345,8,0,Abnormality of the lumbar spine,HP:0004609,0
HP:0012484,Abnormal dense granules,HP:0011883,11342,1,0,Abnormal platelet dense granules,HP:0000978,0
HP:0003234,Decreased circulating carnitine concentration,HP:0010967|HP:0003287,11337,20,0,Decreased circulating carnitine level,HP:0003172,0
HP:0031934,Abnormal descending aorta morphology,HP:0001679,11337,1,0,Abnormal descending aorta morphology,HP:0004930,0
HP:6000543,Positive mycobacterium CSF culture,HP:0430123,11332,0,0,Mycobacterial infection,HP:0100806,0
HP:5200217,Depersonalization,HP:5200216,11331,1,0,Depersonalization,HP:0000725,0
HP:4000178,Anti-retroviral therapy exposure,HP:4000112,11329,0,0,no appropriate match,HP:0000000,0
HP:0011979,Elevated urinary dopamine level,HP:0011976,11326,6,0,no appropriate match,HP:0000000,0
HP:0033748,Hypoesthesia,HP:0033747,11316,20,2,Hypoesthesia,HP:0002615,0
HP:0025315,Exacerbated by head trauma,HP:0025285,11308,1,0,no appropriate match,HP:0000000,0
HP:0007687,Unilateral ptosis,HP:0000508,11297,18,2,Unilateral ptosis,HP:0007650,0
HP:0008264,Neutrophil inclusion bodies,HP:0011992,11297,2,0,Alder-Reilly anomaly,HP:0011800,0
HP:0031217,Hot flashes,HP:0025142,11293,1,1,Hot flashes,HP:0100813,0
HP:6000525,Reduced erythrocyte glutathione reductase activity,HP:0030272,11292,1,0,Decreased erythrocyte glutathione reductase activity,HP:0011970,0
HP:0500199,Abnormal CSF glutamate concentration,HP:0500195,11292,0,0,Abnormality of glutamate family amino acid level,HP:0010902,0
HP:0030344,Decreased circulating luteinizing hormone level,HP:0030345|HP:0030339,11275,20,0,Decreased circulating luteinizing hormone level,HP:0003365,0
HP:0004382,Mitral valve calcification,HP:0005146|HP:0001633,11273,12,2,Mitral valve calcification,HP:0001723,0
HP:0004941,Extrahepatic portal hypertension,HP:0001409,11273,2,0,Portal hypertension,HP:0001409,0
HP:6000594,Maxillary cyst,HP:0000326,11273,0,0,Maxillary sinus cyst,HP:0011800,0
HP:6000096,Corneal transplant history,HP:0430103,11253,0,0,Corneal transplant,HP:0012736,0
HP:0005897,Severe generalized osteoporosis,HP:0040160,11251,2,0,Osteoporosis,HP:0000939,0
HP:0010544,Vertical nystagmus,HP:0000639,11246,16,1,Vertical nystagmus,HP:0012043,0
HP:0010576,Intracranial cystic lesion,HP:0030724,11242,12,0,Intracranial cyst,HP:0012506,0
HP:0500212,Increased CSF threonine concentration,HP:0500211,11238,0,0,Increased CSF threonine,HP:0010912,0
HP:0033671,Pulmonary oligemia,HP:0031983,11219,0,0,Pulmonary oligemia,HP:0030878,0
HP:0002304,Akinesia,HP:0002374,11215,34,3,Akinesia,HP:0002304,1
HP:6000011,Excessive guilt,HP:0031467,11212,0,0,no appropriate match,HP:0000000,0
HP:0000756,Agoraphobia,HP:5200232,11210,7,3,Agoraphobia,HP:0000737,0
HP:0000514,Slow saccadic eye movements,HP:0000570,11205,51,0,Slow saccadic eye movements,HP:0000514,1
HP:0003700,Generalized amyotrophy,HP:0003202,11204,64,31,Generalized amyotrophy,HP:0003700,1
HP:0034228,Proximal aortic arch hypoplasia,HP:0012304,11198,0,0,Aortic arch hypoplasia,HP:0012303,0
HP:0200114,Metabolic alkalosis,HP:0001948,11191,16,0,Metabolic alkalosis,HP:0200114,1
HP:0011995,Atrial septal dilatation,HP:0011994,11182,6,0,Atrial septal aneurysm,HP:0011992,0
HP:0000017,Nocturia,HP:0000009,11181,11,6,Nocturia,HP:0000015,0
HP:0003121,Limb joint contracture,HP:0001371,11177,23,2,Joint contracture,HP:0001371,0
HP:0007634,Nonarteritic anterior ischemic optic neuropathy,HP:0001138,11172,2,1,Anterior ischemic optic neuropathy,HP:0008059,0
HP:0007537,Severe photosensitivity,HP:0000992,11169,4,0,Severe photosensitivity,HP:0000995,0
HP:0010639,Elevated alkaline phosphatase of bone origin,HP:0010679,11160,13,1,Abnormality of alkaline phosphatase,HP:0011748,0
HP:0025518,Visual gaze preference,HP:0000496,11150,2,0,Gaze preference,HP:0000491,0
HP:0005445,Enlarged posterior fossa,HP:0000932,11149,6,1,Abnormality of the posterior cranial fossa,HP:0002419,0
HP:0008265,Mitochondrial lysine transport defect,HP:0003287,11146,1,0,no appropriate match,HP:0000000,0
HP:4000052,Avulsion fracture,HP:4000042,11146,0,0,Avulsion fracture,HP:0000010,0
HP:0000174,Abnormal palate morphology,HP:0000163,11142,66,3,Abnormality of the palate,HP:0000174,1
HP:0500219,Abnormal CSF tyrosine concentration,HP:0500214,11135,0,0,Abnormality of cerebrospinal fluid tyrosine level,HP:0031981,0
HP:0008321,Reduced factor X activity,HP:0010990,11127,7,0,Reduced factor X activity,HP:0003111,0
HP:0007141,Sensorimotor neuropathy,HP:0009830,11126,106,0,Sensorimotor neuropathy,HP:0007140,0
HP:0030339,Decreased circulating gonadotropin concentration,HP:0030338,11120,7,0,Hypogonadotropic hypogonadism,HP:0000044,0
HP:0034977,Abnormal pituitary stalk morphology,HP:0000864,11118,0,0,Abnormality of the pituitary stalk,HP:0011740,0
HP:0031249,Parageusia,HP:0000223,11111,2,1,Abnormal taste sensation,HP:0010296,0
HP:0000885,Broad ribs,HP:0000772,11105,30,3,Broad ribs,HP:0000873,0
HP:0031994,Bronchial breath sound,HP:0030829,11096,2,1,Abnormal respiratory sounds,HP:0030828,0
HP:0032386,Elevated circulating transferrin concentration,HP:0032385,11090,1,2,Increased serum transferrin level,HP:0040081,0
HP:0010834,Trophic changes related to pain,HP:0010832,11087,2,0,no appropriate match,HP:0000000,0
HP:0430000,Abnormal frontal bone morphology,HP:0002683,11086,2,0,Abnormality of the frontal bone,HP:0004469,0
HP:0004621,Enlarged vertebral pedicles,HP:0030277,11078,2,0,no appropriate match,HP:0000000,0
HP:0034031,Facial cyanosis,HP:0034033,11073,0,0,Cyanosis,HP:0000961,0
HP:0001886,Foot osteomyelitis,HP:0002754|HP:0001760,11072,5,1,Osteomyelitis,HP:0002754,0
HP:0008158,Hyperapobetalipoproteinemia,HP:0003119,11070,1,1,Hyperapobetalipoproteinemia,HP:0010982,0
HP:0002198,Dilated fourth ventricle,HP:0010950|HP:0002119,11067,41,4,Dilated fourth ventricle,HP:0002199,0
HP:0011282,Abnormal hindbrain morphology,HP:0012443,11067,0,2,Abnormality of the hindbrain,HP:0012449,0
HP:0410374,Abnormal proportion of naive CD8 T cells,HP:0031396,11063,0,0,Abnormal proportion of naive CD8-positive T cells,HP:0032760,0
HP:0012769,Abnormal arm span,HP:0002817,11058,0,0,Increased arm span,HP:0001515,0
HP:0032216,Lymphocytic infiltration of the colorectal mucosa,HP:0025090,11043,2,0,Colitis,HP:0002583,0
HP:0000870,Increased circulating prolactin concentration,HP:0010514,11041,40,2,Hyperprolactinemia,HP:0000877,0
HP:0100539,Periorbital edema,HP:0000606|HP:0000282,11037,29,0,Periorbital edema,HP:0100544,0
HP:0012579,Minimal change glomerulonephritis,HP:0000099,11016,15,1,Minimal change glomerulonephrosis,HP:0000098,0
HP:0500233,Increased CSF alanine concentration,HP:0500232,11009,3,0,Increased CSF alanine,HP:0010916,0
HP:0500030,Abnormal hepatic glycogen storage,HP:0031137,11007,2,0,Abnormal hepatic glycogen storage,HP:0006567,0
HP:0008955,Progressive distal muscular atrophy,HP:0003693,11002,4,0,Distal muscle weakness,HP:0002460,0
HP:0031261,Bladder polyp,HP:0025487,11000,1,1,Bladder neoplasm,HP:0010783,0
HP:0040075,Hypopituitarism,HP:0011747,10997,30,3,Hypopituitarism,HP:0000853,0
HP:0031962,Elevated serum anion gap,HP:0031961,10997,7,1,Increased anion gap,HP:0001992,0
HP:0030896,Abnormal gastrointestinal transit time,HP:0030895,10994,0,0,Abnormal gastrointestinal motility,HP:0012574,0
HP:0031996,Inspiratory crackles,HP:0030830,10977,3,0,Crackles,HP:0025190,0
HP:0020180,Elevated haptoglobin level,HP:0020179,10977,2,0,no appropriate match,HP:0000000,0
HP:0000117,Renal phosphate wasting,HP:0012599,10964,19,1,Renal phosphate wasting,HP:0008610,0
HP:5200341,Addictive cannabis use,HP:0033511,10956,0,0,no appropriate match,HP:0000000,0
HP:0031197,Cellular urinary casts,HP:0012615,10949,1,0,Cellular casts,HP:0031914,0
HP:0001217,Clubbing,HP:0011297,10944,51,3,Clubbing,HP:0100750,0
HP:0005301,Persistent left superior vena cava,HP:0025575,10938,31,0,Persistent left superior vena cava,HP:0011544,0
HP:0010290,Short hard palate,HP:0100737,10933,6,0,Short hard palate,HP:0000175,0
HP:0034291,Elevated circulating creatine concentration,HP:0012113,10933,2,0,Increased circulating creatine level,HP:0012125,0
HP:0025261,Stiff finger,HP:0001387,10932,0,0,Joint stiffness,HP:0001387,0
HP:0410258,Neutrophilia in absence of infection,HP:0011897,10931,0,0,Neutrophilia,HP:0011896,0
HP:0034924,Abnormal dermis morphology,HP:0011121,10927,0,0,Abnormality of the dermis,HP:0001001,0
HP:0033078,Decreased circulating free T4 concentration,HP:0033076,10923,6,0,Low free T4,HP:0011125,0
HP:0003065,Patellar hypoplasia,HP:0006498,10920,26,0,Hypoplastic patella,HP:0003089,0
HP:0000519,Developmental cataract,HP:0007700|HP:0000518,10913,137,0,Congenital cataract,HP:0000519,1
HP:0030311,Lower extremity joint dislocation,HP:0001373,10910,2,0,Joint dislocation,HP:0001373,0
HP:0003405,Diffuse axonal swelling,HP:0000759,10909,4,2,Diffuse axonal injury,HP:0010926,0
HP:0011883,Abnormal platelet granules,HP:0011875,10909,1,0,Abnormal platelet granules,HP:0011872,0
HP:0011438,Maternal teratogenic exposure,HP:0031437,10889,3,0,no appropriate match,HP:0000000,0
HP:0000256,Macrocephaly,HP:0040194,10887,551,36,Macrocephaly,HP:0000256,1
HP:0010743,Short metatarsal,HP:0003026|HP:0040069|HP:0001964,10884,70,3,Short metatarsal,HP:0010743,1
HP:0011934,Dilatation of mesenteric artery,HP:0002636,10879,4,0,no appropriate match,HP:0000000,0
HP:0020164,Ophthalmic artery occlusion,HP:0025326,10877,0,0,Retinal artery occlusion,HP:0000653,0
HP:0034390,Decreased CSF glycine concentration,HP:0500229,10875,1,0,Decreased CSF glycine concentration,HP:0010916,0
HP:0003091,Trophic limb changes,HP:0010834,10869,1,0,Trophic changes of the skin,HP:0001013,0
HP:0004887,Respiratory failure requiring assisted ventilation,HP:0002093,10867,39,3,Respiratory failure,HP:0002878,0
HP:0032258,Pulmonary histoplasmosis,HP:0032256,10866,0,0,no appropriate match,HP:0000000,0
HP:0032645,Renal interstitial mononuclear cell infiltration,HP:0032581,10866,0,0,Renal interstitial nephritis,HP:0001970,0
HP:0032256,Histoplasmosis,HP:0032255,10865,3,0,no appropriate match,HP:0000000,0
HP:0032257,Disseminated histoplasmosis,HP:0032256,10865,1,0,Disseminated histoplasmosis,HP:0009657,0
HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,HP:0410177,10853,1,0,Decreased circulating glucose-6-phosphate dehydrogenase level,HP:0011993,0
HP:0011390,Abnormal inner ear morphology,HP:0000359,10848,3,1,Abnormality of the inner ear,HP:0011389,0
HP:0025540,Abnormal T cell subset distribution,HP:0011839,10845,2,0,Abnormal T cell subset distribution,HP:0011844,0
HP:0011837,Partial IgA deficiency,HP:0002720,10844,1,0,Selective immunoglobulin A deficiency,HP:0002720,0
HP:0034423,triggered by allergens,HP:0025204,10838,0,0,no appropriate match,HP:0000000,0
HP:6000660,Paravertebral mass,HP:0000925,10837,0,0,Paravertebral mass,HP:0030793,0
HP:0034208,Fetal intracranial hemorrhage,HP:0034206|HP:0002170,10835,0,0,Intracranial hemorrhage,HP:0011025,0
HP:6000729,Positive CSF fungus test,HP:0430123,10832,0,0,no appropriate match,HP:0000000,0
HP:0006934,Congenital nystagmus,HP:0000639,10823,17,1,Congenital nystagmus,HP:0000639,0
HP:0001935,Microcytic anemia,HP:0010972,10807,40,3,Microcytic anemia,HP:0001935,1
HP:0032577,Clonal T cell receptor rearrangement,HP:0025540,10803,0,0,no appropriate match,HP:0000000,0
HP:0100896,Rectal polyposis,HP:0100743|HP:0030255,10800,5,0,Colorectal polyposis,HP:0012110,0
HP:0100519,Anuria,HP:0011037,10795,13,0,Anuria,HP:0000006,0
HP:0001634,Mitral valve prolapse,HP:0001633,10791,141,8,Mitral valve prolapse,HP:0001634,1
HP:0040221,Hypoplasia of the dental root,HP:0040220,10785,1,0,Short dental roots,HP:0006295,0
HP:0031412,Abnormal telomere morphology,HP:0031411,10778,0,2,Abnormal telomere morphology,HP:0012146,0
HP:0040170,Abnormality of hair growth,HP:0001595,10775,1,0,Abnormal hair growth,HP:0011362,0
HP:0012503,Abnormal pituitary gland morphology,HP:0012443|HP:0000864,10768,9,3,Abnormality of the pituitary gland,HP:0010626,0
HP:0032462,Increased circulating palmitate level,HP:0003455,10768,0,0,no appropriate match,HP:0000000,0
HP:0004307,Abnormal anatomic location of the heart,HP:0001627,10767,1,0,Abnormal position of the heart,HP:0001627,0
